Entity,Code,Year,Prevalence - Neoplasms - Sex: Both - Age: 70+ years (Number),Prevalence - Neoplasms - Sex: Both - Age: 50-69 years (Number),Prevalence - Neoplasms - Sex: Both - Age: 15-49 years (Number),Prevalence - Neoplasms - Sex: Both - Age: 5-14 years (Number),Prevalence - Neoplasms - Sex: Both - Age: Under 5 (Number)
Southern Latin America,,2015,232523.8275,341525.0052,221477.6458,7807.374782,8805.785251
Southern Sub-Saharan Africa,,2015,60839.22368,142547.8743,90519.37483,3048.80435,5401.597388
Spain,ESP,2015,548963.412,622046.1332,235611.9004,24893.74897,17938.33783
Sri Lanka,LKA,2015,23171.87596,59350.44391,28574.61562,1525.322479,3120.012096
Sub-Saharan Africa,,2015,356246.4531,885124.3567,895112.8138,56303.21492,258339.6758
Sudan,SDN,2015,14515.97649,27693.68593,35987.60663,7627.343487,8849.894016
Suriname,SUR,2015,904.6457027,1569.171817,1116.197624,33.06131855,60.18236232
Sweden,SWE,2015,150628.6155,164745.7389,50616.64646,4564.126672,2825.9828
Switzerland,CHE,2015,109328.6213,115838.2772,42129.11248,2323.127751,2485.439221
Syria,SYR,2015,13179.12877,30736.88428,24143.09217,4707.628923,2491.805337
Taiwan,TWN,2015,151326.2879,332816.6022,232248.7457,15095.13092,15640.9227
Tajikistan,TJK,2015,2924.364182,9145.515229,12647.82918,2053.896916,2306.581973
Tanzania,TZA,2015,18751.63765,41082.04426,47128.73764,3809.77074,22416.35867
Thailand,THA,2015,101425.6381,237919.0241,162582.4414,4914.453201,7885.364242
Timor,TLS,2015,630.1635375,1401.578314,869.4989396,61.09173373,148.5735914
Togo,TGO,2015,2040.699557,5840.964247,6310.642321,338.1871256,983.0250586
Tonga,TON,2015,161.1323388,256.8847115,262.207416,10.19741661,15.60130669
Trinidad and Tobago,TTO,2015,4059.513677,7879.423277,3177.460053,66.95903625,159.137229
Tropical Latin America,,2015,400508.9331,749284.602,441097.5094,8582.784958,20520.22254
Tunisia,TUN,2015,17273.71581,33634.2334,25210.6847,1774.247079,1552.394125
Turkey,TUR,2015,163347.1543,332298.974,198374.8963,19562.90591,20973.21201
Turkmenistan,TKM,2015,2635.530874,9447.998161,11145.97928,1064.030012,1308.611809
Uganda,UGA,2015,12080.05001,29524.8407,33303.72959,3935.192426,15098.98621
Ukraine,UKR,2015,206653.4093,476925.3378,241304.8406,20266.33428,19565.677
United Arab Emirates,ARE,2015,1246.066204,14753.12819,24716.04552,837.8030027,1137.47828
United Kingdom,GBR,2015,996483.5612,1001061.762,462298.291,32508.20944,24964.30442
United States,USA,2015,6657326.465,9960618.79,4906924.941,292991.9745,100207.1657
United States Virgin Islands,VIR,2015,1041.995196,1644.577201,331.6455567,11.5054464,15.65083146
Uruguay,URY,2015,21381.11674,26038.06895,12980.163,373.9816031,373.6512391
Uzbekistan,UZB,2015,13864.35853,56653.58803,60794.50256,6987.36266,8020.928906
Vanuatu,VUT,2015,201.9841213,447.6648071,556.616377,31.94129077,35.73641716
Venezuela,VEN,2015,67801.57681,139350.2136,81541.19187,3142.702683,5650.886734
Vietnam,VNM,2015,86770.93369,247906.0024,172718.5869,4765.577536,7852.506825
Wales,,2015,47886.41488,48450.6047,19149.80359,746.1246334,697.2374133
Western Europe,,2015,5839081.584,6423953.103,2404160.592,149021.1537,126429.3126
Western Sub-Saharan Africa,,2015,162820.6315,367910.4745,370258.7507,22491.03145,122952.3957
World,OWID_WRL,2015,25278659.54,40922803.23,23782025.46,2220175.241,2644932.905
Yemen,YEM,2015,9417.137464,21889.63629,27447.64466,5782.760118,4523.706551
Zambia,ZMB,2015,4804.633597,11710.24283,15856.41833,1098.111861,5416.037249
Zimbabwe,ZWE,2015,6176.660634,18367.57949,15348.63145,878.6373598,1803.072478
